status,code_name,description
0x0,KDC_ERR_NONE,No error.
0x1,KDC_ERR_NAME_EXP,Client's entry in KDC database has expired.
0x2,KDC_ERR_SERVICE_EXP,Server's entry in KDC database has expired.
0x3,KDC_ERR_BAD_PVNO,Requested Kerberos version number not supported.
0x4,KDC_ERR_C_OLD_MAST_KVNO,Client's key encrypted in old master key.
0x5,KDC_ERR_S_OLD_MAST_KVNO,Server's key encrypted in old master key.
0x6,KDC_ERR_C_PRINCIPAL_UNKNOWN,Client not found in Kerberos database.
0x7,KDC_ERR_S_PRINCIPAL_UNKNOWN,Server not found in Kerberos database.
0x8,KDC_ERR_PRINCIPAL_NOT_UNIQUE,Multiple principal entries in KDC database.
0x9,KDC_ERR_NULL_KEY,The client or server has a null key (master key).
0xa,KDC_ERR_CANNOT_POSTDATE,Ticket (TGT) not eligible for postdating.
0xb,KDC_ERR_NEVER_VALID,Requested start time is later than end time.
0xc,KDC_ERR_POLICY,Requested start time is later than end time.
0xd,KDC_ERR_BADOPTION,KDC cannot accommodate requested option.
0xe,KDC_ERR_ETYPE_NOTSUPP,KDC has no support for encryption type.
0xf,KDC_ERR_SUMTYPE_NOSUPP,KDC has no support for checksum type.
0x10,KDC_ERR_PADATA_TYPE_NOSUPP,KDC has no support for PADATA type (pre-authentication data).
0x11,KDC_ERR_TRTYPE_NO_SUPP,KDC has no support for transited type.
0x12,KDC_ERR_CLIENT_REVOKED,Client's credentials have been revoked.
0x13,KDC_ERR_SERVICE_REVOKED,Credentials for server have been revoked.
0x14,KDC_ERR_TGT_REVOKED,TGT has been revoked.
0x15,KDC_ERR_CLIENT_NOTYET,Client not yet valid - try again later.
0x16,KDC_ERR_SERVICE_NOTYET,Server not yet valid - try again later.
0x17,KDC_ERR_KEY_EXPIRED,Password has expired - change password to reset.
0x18,KDC_ERR_PREAUTH_FAILED,Pre-authentication information was invalid
0x19,KDC_ERR_PREAUTH_REQUIRED,Additional pre-authentication required.
0x1a,KDC_ERR_SERVER_NOMATCH,KDC does not know about the requested server.
0x1b,KDC_ERR_SVN_UNAVAILABLE,KDC does not know about the requested server.
0x1c,KDC_ERR_SVC_UNAVAILABLE,KDC is unavailable.
0x1f,KDC_AP_ERR_BAD_INTEGRITY,Integrity check on decrypted field failed.
0x20,KRB_AP_ERR_TKT_EXPIRED,The ticket has expired.
0x21,KRB_AP_ERR_TKT_NYV,The ticket is not yet valid.
0x22,KRB_AP_ERR_REPEAT,The requset is a replay.
0x23,KRB_AP_ERR_NOT_US,The ticket is not for us.
0x24,KRB_AP_ERR_BADMATCH,The ticket and authenticator do not match.
0x25,KRB_AP_ERR_SKEW,The clock skew is too great.
0x26,KRB_AP_ERR_BADADDR,Network address in network layer header doesn't match address inside ticket.
0x27,KRB_AP_ERR_BADVERSION,Protocol version numbers don't match (PVNO).
0x28,KRB_AP_ERR_MSG_TYPE,Message type is unsupported.
0x29,KRB_AP_ERR_MODIFIED,Message stream modified and checksum didn't match.
0x2a,KRB_AP_ERR_BADORDER,Message out of order (possible tampering).
0x2c,KRB_AP_ERR_BADKEYVER,Specified version of key is not available.
0x2d,KRB_AP_ERR_NOKEY,Service key not available.
0x2e,KRB_AP_ERR_MUT_FAIL,Mutual authentication failed.
0x2f,KRB_AP_ERR_BADDIRECTION,Incorrect message direction.
0x30,KRB_AP_ERR_METHOD,Alternative authentication method required.
0x31,KRB_AP_ERR_BADSEQ,Incorrect sequence number in message
0x32,KRB_AP_ERR_INAPP_CKSUM,Inappropriate type of checksum message (checksum may be unsupported)
0x33,KRB_AP_PATH_NOT_ACCEPTED,Desired path is unreachable
0x34,BRK_ERR_MRESPONSE_TOO_BIG,Too much data
0x3c,KRB_ERR_GENERIC,Generic error.
0x3d,KRB_ERR_FIELD_TOOLONG,Field is too long for this implementation.
0x3e,KDC_ERR_CLIENT_NOT_TRUSTED,The client trust failed or is not implemented.
0x3f,KDC_ERR_KDC_NOT_TRUSTED,The KDC server trust failed or could not be verified.
0x40,KDC_ERR_INVALID_SIG,The signature is invalid.
0x41,KDC_ERR_KEY_TOO_WEAK,A higher encryption level is needed.
0x42,KRB_AP_ERR_USER_TO_USER_REQUIRED,User-to-user authorization is required.
0x43,KRB_AP_ERR_NO_TGT,No TGT was presented or available.
0x44,KDC_ERR_WRONG_REALM,Incorrect domain or principal.